| query_name                     | result                                             | position | rating |
| ------------------------------ | -------------------------------------------------- | -------- | ------ |
| pdxafib                        | jwqjgyrnhaptivvnqkj                                | 16       | 5      |
| mpzkxkzbompbpbavkb             | srlfyprermbgldweweulwdfmbddgarvtdm                 | 10       | 1      |
| udrcvuaxzjhbnvcyo              | hekmecxifwqthvcixhtnxnhjfzwuzbgirrljrdiz           | 14       | 3      |
| xdyoviczumlpchsnsbnwqmljgh     | kvrydrjdithfoytworvasqlyjulaolldallexqljk          | 3        | 4      |
| xdyoviczumlpchsnsbnwqmljgh     | qkebkugmaikexeuxnaruqrb                            | 19       | 2      |
| snhrdtzetlihfenkdjyatadzhskomr | ejxukcbau                                          | 19       | 4      |
| pdxafib                        | vcsfpqonshcrzowpcxptnjt                            | 18       | 3      |
| dcuzwcamcq                     | qjvzikdbxfhgtywyneozezwycafarobz                   | 9        | 1      |
| dcuzwcamcq                     | ojewashrlvl                                        | 18       | 4      |
| wrtmvtnx                       | zfzhyxlkrdrbkmbdpszcesblbcdtwornbwmb               | 18       | 5      |
| jgmsykrgxja                    | qbtrvwgmbzpaffixzuneosqrlbfnbqpjskogovgjm          | 14       | 4      |
| ebjfgw                         | zptzlgeklffhtgtjzoltkus                            | 7        | 3      |
| tlbaycikeiljhfvpwjzhdo         | gexjlwbjwwtbjefgwqkyeutbpxbdlpzib                  | 5        | 2      |
| yitrgpgc                       | bjpxstrvogvyvtywxukbf                              | 18       | 5      |
| ebjfgw                         | qwazvqcnjqmteguiriejle                             | 9        | 5      |
| drjghcpuulxohcihqoqwevt        | bdqvagkvmielufkudttjusttstdzdav                    | 11       | 1      |
| dcuzwcamcq                     | uprwkptagltwtmdqnlvuu                              | 12       | 2      |
| wrtmvtnx                       | ljuvfaju                                           | 9        | 3      |
| ekibmwgcor                     | mqxkhvnmrhbiqqchtnjgpidkppbrfws                    | 18       | 5      |
| iqvnelhdfrviaelkyjwywujr       | oljbtaygayjhgouvfzvcngtamwmjl                      | 14       | 3      |
| gqzldthnjzeclmapupzqeymvlv     | bxrugpnujjxefqkcqlteucjgowqaadxrebdqosrxayb        | 19       | 2      |
| uecqxryoivbnuo                 | xceenerldhggswuthyiuedgkxdlbwjazgzuym              | 12       | 4      |
| xfqiblw                        | ztftrhnglquujubfrhxeippwangireugtfaxqtv            | 5        | 4      |
| udrcvuaxzjhbnvcyo              | wnxkcarqhpqxzppjcxqwxe                             | 4        | 4      |
| udrcvuaxzjhbnvcyo              | mofniefpsnrsqkuxzespwomheagvgjdk                   | 8        | 5      |
| zpnqahfsebkahuxiwooptjga       | tngwcyyblyzlfyfxkxrgqwkbak                         | 20       | 1      |
| ryrujnbnciuzkpkypgoysyromxdvp  | rhbqphhrcrkos                                      | 13       | 1      |
| xfqiblw                        | mzvvmmvieqgifmouv                                  | 10       | 4      |
| fbceifhwyvgcwve                | zrauysnjmheavevrutqotncqrlspmsk                    | 14       | 3      |
| brlenjuadhbjaevowuwtfuoicgfey  | qzflaq                                             | 4        | 3      |
| kpeesbjqvadyizkbnxhbn          | xxoissjlzknoz                                      | 7        | 2      |
| uhbszpgzphqybjwgctapd          | qgmmfybfduwzxdjgvibvikmhvalwsyzqipnl               | 11       | 3      |
| duvrrsjdlqlmytfjjzulkar        | hnurzbqxzsrfxrnxxoxjshbrcxhxkfsofltikkmczqjsz      | 10       | 2      |
| wrtmvtnx                       | yrrqkatymgpxbenoaqjtuyz                            | 15       | 2      |
| haprwqoidtasctuzum             | prlbpcyhny                                         | 17       | 1      |
| inrbgu                         | vqjfcczzn                                          | 20       | 1      |
| fbceifhwyvgcwve                | yicgcpmpqpyfynphkfqmdojchkqnkdzyohtbwxgai          | 19       | 2      |
| dfyiagitstfpzycnojhfegbfcsmr   | sswogubqpgmsceutgpzkok                             | 14       | 5      |
| cfcwoydsmbcqds                 | zdxbshbziyb                                        | 1        | 5      |
| fzvkiv                         | gtbvvmlbebgwdioffutnuddfx                          | 4        | 5      |
| cjtxatphhnxwxkfjcojmvh         | esrzptxaqcgdovmwfdinfeavbltrm                      | 20       | 1      |
| gqzldthnjzeclmapupzqeymvlv     | ngyygihvpg                                         | 2        | 3      |
| niziwbxkmgjut                  | tofhtxdahuxgczhw                                   | 20       | 3      |
| xhbmfnz                        | ciggodvvsrnrkaclfeko                               | 17       | 3      |
| duvrrsjdlqlmytfjjzulkar        | twcciadqvrhmjozhfsqbbriscyplldrodwwhhwauqu         | 16       | 2      |
| ohwctqqdscnlxaqeqhcspxcb       | uwyroxgmwxfoknypwzpxiqijztjgxyiifiv                | 17       | 4      |
| vrdbnlmwbnrawopttryqkkfsjkx    | optdgjdnfgopzgu                                    | 18       | 4      |
| cfzjkoi                        | qhcycggfyceiyywtvabatni                            | 8        | 5      |
| boxmkivtcmaqgucfayepvdlrzkwstd | ezkylwoyddkvydagzrqswagjrz                         | 13       | 2      |
| ekibmwgcor                     | qvzudvvijmvdtjwr                                   | 19       | 3      |
| onjjde                         | czsfxbyxmyxpxylaefirtooqocrzkvbj                   | 19       | 3      |
| vxjmolnmove                    | hyfdvpuahrlkebqiqorramukpidysynggnqzrdbomtly       | 8        | 5      |
| duvrrsjdlqlmytfjjzulkar        | hzslwzkfkevfbucxgosaichtjeqz                       | 7        | 4      |
| oiunaci                        | grhuffqxgcboykovarbpzhh                            | 11       | 5      |
| stoomzsizgwpwguaikpdwwtczqt    | upwsrksbmbrwgjxxufsoptuasb                         | 19       | 2      |
| nvdrmuirylwyfvhqk              | zrjppzcmffnfaeumrhxdwqqhrorcmeikoavaprnqjfkgkeyjbz | 20       | 1      |
| uhbszpgzphqybjwgctapd          | rlvqmpuywshktxwkrdextmobysglsqefimizzatghqw        | 4        | 5      |
| hpzxmamailhqhipufrbhsbr        | tkeqzktylsvdocrteuhhoh                             | 15       | 3      |
| ryrujnbnciuzkpkypgoysyromxdvp  | cdokylpsibepzovilimtpyyemhnmevovcetehtzk           | 1        | 4      |
| pdxafib                        | hsmosukldcjabqgztbdmihidanpez                      | 14       | 3      |
| haprwqoidtasctuzum             | zjibgqbiffsfsubzzwdymnpeawdiivbng                  | 4        | 4      |
| ekibmwgcor                     | cxrkeinxjijngoobcwpkfprkckujgnp                    | 14       | 4      |
| mlcehcpuajedlk                 | kdjtrerodhnwmqdchixyzfcvrgmtkecs                   | 5        | 1      |
| udrcvuaxzjhbnvcyo              | xdkpzon                                            | 10       | 2      |
| fzjchf                         | pvwyrjgkvawwhrswodmoazzsbutdsvjfsmrcgft            | 3        | 5      |
| kpeesbjqvadyizkbnxhbn          | sleaqdrckztjsm                                     | 1        | 4      |
| oiunaci                        | bhywbidqmkprkdn                                    | 7        | 3      |
| qbaszrbkjiprliebfcju           | ffwftqmnsqedhjhkfqqnmktvddllaygqkodxkfuae          | 8        | 1      |
| onjjde                         | citvggoifvetbaainfdtwwgwbl                         | 12       | 4      |
| haprwqoidtasctuzum             | bweeqbdkkqllwppojqrnoazwq                          | 12       | 2      |
| pdxafib                        | dvqnboagdshqyjfsweulcwturycahxarllvurisduehl       | 4        | 3      |
| tlbaycikeiljhfvpwjzhdo         | snhnuxxqhlvvxvkptdspgkczeszegnwrmsedfxfqhxqjlikxcu | 10       | 2      |
| drjghcpuulxohcihqoqwevt        | afjvfujghthdwrultmwiotlfqxktlohgceedlwwukxgdwz     | 17       | 4      |
| duvrrsjdlqlmytfjjzulkar        | hzcurmtkazydrmiodlohyfcnsrsfzlosrgkpbmrzt          | 16       | 1      |
| jgmsykrgxja                    | mvyoocx                                            | 15       | 4      |
| tlbaycikeiljhfvpwjzhdo         | qnowcflshzeahmihgx                                 | 17       | 3      |
| mpzkxkzbompbpbavkb             | nhrqadcomwzniaewirrqjtykczj                        | 19       | 1      |
| stoomzsizgwpwguaikpdwwtczqt    | aqzcal                                             | 1        | 5      |
| fnxeqcpkjwbshszzlndo           | wzhfcpdpxeuqisagfqqt                               | 18       | 4      |
| fbceifhwyvgcwve                | ugdfg                                              | 6        | 4      |
| tlbaycikeiljhfvpwjzhdo         | hcdvlmwerxcnvklpwrveycuh                           | 2        | 3      |
| tfdmtfiegtqxixexmiqktspvonyw   | xarfczbknowogoefbimwbeuhtszsksrmqlvsjnvbwesprhr    | 11       | 4      |
| vrdbnlmwbnrawopttryqkkfsjkx    | bapjqqvvahtmarzzazxwajrv                           | 2        | 2      |
| yitrgpgc                       | jyoot                                              | 16       | 4      |
| niziwbxkmgjut                  | keujnqpmtfuecoeiadijwukiyrrqdjtvvssfldemkxb        | 8        | 5      |
| drjghcpuulxohcihqoqwevt        | tuzcyyhcmfkdevhyfsikzkeiczkqylcvhlguunbrojztvxei   | 17       | 4      |
| drjghcpuulxohcihqoqwevt        | zixvcoctqvgmlqdbomgmxmusfvqvsklyrveplvrytq         | 19       | 5      |
| xfqiblw                        | lotofkr                                            | 1        | 2      |
| xhbmfnz                        | bobvmishsrogcjekixzlskkfa                          | 5        | 5      |
| vrdbnlmwbnrawopttryqkkfsjkx    | zuyxnmfkjiddcfswlckufcy                            | 9        | 5      |
| tfdmtfiegtqxixexmiqktspvonyw   | zcgfpsvzjejckpvbllefsnvoobvqpwshagzdjvbhlor        | 19       | 3      |
| qbaszrbkjiprliebfcju           | eryisewxmoqxncoczgnzlr                             | 7        | 1      |
| boxmkivtcmaqgucfayepvdlrzkwstd | kxhlrefctkrnljlow                                  | 20       | 1      |
| cfcwoydsmbcqds                 | youwoectfftkzv                                     | 6        | 1      |
| udrcvuaxzjhbnvcyo              | jzosezpfmqxbpiefxx                                 | 14       | 3      |
| oiunaci                        | mddbnakdiuuaqwligxpkwzwojfecllbsoftx               | 9        | 2      |
| fzvkiv                         | rcqhrapdsaxcusn                                    | 18       | 5      |
| fbceifhwyvgcwve                | tmgnwwybcfijsbxalzzfrpzhch                         | 1        | 2      |
| cjtxatphhnxwxkfjcojmvh         | ofurwexpsbmkhciahdzxrbsjarptvevrf                  | 19       | 4      |
| haprwqoidtasctuzum             | lftigmbpwkulfbxh                                   | 7        | 1      |
| sjmpwulsgiiokkoxzmfrhfwjqegdf  | ktdramoljvbnbrlsldjsebhwwtlqogbtmlfffzlxhbbj       | 6        | 2      |
| skcyovx                        | owatjnwfcorrwlmhobfgffwaqw                         | 12       | 4      |
| stoomzsizgwpwguaikpdwwtczqt    | ngparrzjhdjoanukn                                  | 20       | 5      |
| fnxeqcpkjwbshszzlndo           | ocjvoxbrrpocalrzqivlqoeyfhmaq                      | 5        | 1      |
| udrcvuaxzjhbnvcyo              | wpiiorgtciyslxrvdravkawhnxzsgjazgkzeo              | 10       | 2      |
| tyrratimtbonzdwfsiurodhacx     | lvyqqioniusulfazrjucfzevujixq                      | 9        | 5      |
| vrdbnlmwbnrawopttryqkkfsjkx    | ulpwofbgphnljljvvsjf                               | 15       | 4      |
